Country,Year,Subtype,Observed
Cambodia,1997,H1,0
Cambodia,1998,H1,0
Cambodia,1999,H1,0
Cambodia,2000,H1,0
Cambodia,2001,H1,0
Cambodia,2002,H1,0
Cambodia,2003,H1,0
Cambodia,2004,H1,0
Cambodia,2005,H1,0
Cambodia,2006,H1,0
Cambodia,2007,H1,13
Cambodia,2008,H1,25
Cambodia,2009,H1,5
Cambodia,2010,H1,0
Cambodia,2011,H1,0
Cambodia,2012,H1,0
Cambodia,2013,H1,0
Cambodia,2014,H1,0
Cambodia,2015,H1,1
China,1997,H1,23
China,1998,H1,1
China,1999,H1,0
China,2000,H1,95
China,2001,H1,1179
China,2002,H1,78
China,2003,H1,10
China,2004,H1,25
China,2005,H1,2123
China,2006,H1,3791
China,2007,H1,603
China,2008,H1,2855
China,2009,H1,5926
China,2010,H1,169
China,2011,H1,0
China,2012,H1,0
China,2013,H1,0
China,2014,H1,0
Cambodia,2015,H1p09,48
China,2016,H1,0
China,2017,H1,0
Egypt,1997,H1,0
Egypt,1998,H1,1
Egypt,1999,H1,0
Egypt,2000,H1,0
Egypt,2001,H1,11
Egypt,2002,H1,7
Egypt,2003,H1,0
Egypt,2004,H1,0
Egypt,2005,H1,6
Egypt,2006,H1,21
Egypt,2007,H1,11
Egypt,2008,H1,0
Egypt,2009,H1,645
Egypt,2010,H1,1
Egypt,2011,H1,0
Egypt,2012,H1,0
Egypt,2013,H1,0
Egypt,2014,H1,0
Cambodia,2015,H3,6049
Indonesia,1997,H1,0
Indonesia,1998,H1,0
Indonesia,1999,H1,0
Indonesia,2000,H1,0
Indonesia,2001,H1,0
Indonesia,2002,H1,0
Indonesia,2003,H1,0
Indonesia,2004,H1,5
Indonesia,2005,H1,26
Indonesia,2006,H1,0
Indonesia,2007,H1,0
Indonesia,2008,H1,0
Indonesia,2009,H1,0
Indonesia,2010,H1,9
Indonesia,2011,H1,4
Indonesia,2012,H1,0
Indonesia,2013,H1,0
Indonesia,2014,H1,0
Cambodia,2015,A,18421
Vietnam,1997,H1,0
Vietnam,1998,H1,0
Vietnam,1999,H1,0
Vietnam,2000,H1,0
Vietnam,2001,H1,0
Vietnam,2002,H1,0
Vietnam,2003,H1,0
Vietnam,2004,H1,0
Vietnam,2005,H1,0
Vietnam,2006,H1,436
Vietnam,2007,H1,11
Vietnam,2008,H1,641
